Sno,Generic/Quantity,Package Unit,Price(in Rs.)
85,Captopril   50 mg,10 Tablet,2.8
86,Captopril   12.5 mg,10 Tablet,1.42
87,Carbamazepine   100 mg,10 Tablet,6.68
88,Carbamazepine   200 mg,10 Tablet,14.83
89,Carbamazepine   400 mg,10 Tablet,26.93
90,Carbamazepine   300 mg,10 Tablet,17.86
91,Carbamazepine   100 mg,50 ml,11.8
92,Carbamazepine   100 mg,100 ml,19.2
93,Cefadroxil   125 mg,10 Tablet,10.97
94,Cefadroxil   250 mg,10 Tablet,19.56
95,Cefadroxil   500 mg,10 Tablet,36.3
96,Cefadroxil   1000 mg,5 Tablet,40.93
97,Cefadroxil   125 mg,30 ml,13.9
98,Cefadroxil   250 mg,30 ml,19.07
99,Cefadroxil   125 mg,60 ml,15.86
100,Cefadroxil   100 mg,10 ml,14.66
101,Cefotaxime Sodium   125 mg,1 Vial,6.76
102,Cefotaxime Sodium   250 mg,1 Vial,9.75
103,Cefotaxime Sodium   500 mg,1 Vial,14.36
104,Cefotaxime Sodium   1000 mg,1 Vial,22.68
105,Cefotaxime Sodium   1500 mg,1 Vial,33.73
106,Cefotaxime Sodium   2000 mg,1 Vial,42.91
107,Cefazolin   125 mg,1 Vial,6.58
108,Cefazolin   250 mg,1 Vial,8.44
109,Cefazolin   500 mg,1 Vial,12.16
110,Cefazolin   1000 mg,1 Vial,20.32
111,Chloroquine Phosphate   250 mg,10 Tablet,6.66
112,Chloroquine Phosphate   500 mg,5 Tablet,6.42
113,Chloroquine Phosphate   64.5 mg,30 ml,19.2
114,Chloroquine Phosphate   64.5 mg,5 ml,5.64
115,Chloroquine Phosphate   100 mg,60 ml,11.38
116,Chloroquine Phosphate   50 mg,60 ml,14.75
117,Chloroquine Phosphate   40 mg,2 ml,1.83
118,Chloroquine   40 mg,30 ml,19.75
119,Chloroquine   50 mg,450 ml,42
120,Chloroquine Phosphate   50 mg,10 ml,7.46
121,Chlorpromazine   10 mg,10 Tablet,1.34
122,Chlorpromazine   25 mg,10 Tablet,2.85
123,Chlorpromazine   50 mg,10 Tablet,4.11
124,Chlorpromazine   100 mg,10 Tablet,12.84
125,Cefadroxil   250 mg,10 Capsule,17.76
126,Cefadroxil   500 mg,4 Capsule,13.1
127,Chlorpromazine   200 mg,10 Tablet,12.24
128,Chlorpromazine   25 mg,2 ml,2.5
129,Ciprofloxacin   250 mg,4 Tablet,12.5
130,Ciprofloxacin   500 mg,4 Tablet,24.02
131,Ciprofloxacin   750 mg,2 Tablet,18.08
132,Ciprofloxacin   3 mg,5 gm,3.84
133,Ciprofloxacin   3 mg,5 ml,5.34
134,Ciprofloxacin   3 mg,10 ml,5.94
135,Ciprofloxacin   100 mg,10 Tablet,12.42
136,Ciprofloxacin   0.3% w/w,3 gm,3.84
137,Ciprofloxacin   0.3% w/v,5 ml,7.55
138,Ciprofloxacin   1000 mg,5 Tablet,46.4
139,Ciprofloxacin   125 mg,60 ml,15.65
140,Ciprofloxacin   250 mg,60 ml,17.07
141,Ciprofloxacin   250 mg,50 ml,14.35
142,Ciprofloxacin   250 mg,100 ml,23.44
143,Cloxacillin   250 mg,1 Vial,4.9
144,Cloxacillin   500 mg,1 Vial,6.12
145,Cloxacillin   250 mg,10 Capsule,11.52
146,Cloxacillin   500 mg,10 Capsule,19.86
147,Cloxacillin   125 mg,40 ml,9.7
148,Dexamethasone   0.5 mg,10 Tablet,2.15
149,Dexamethasone   1 mg,10 Tablet,1.92
150,Dexamethasone   4 mg,20 ml,17.14
151,Dexamethasone   4 mg,2 ml,3.32
152,Dexamethasone   20 mg,5 ml,17.94
153,Diosmin   150 mg,10 Tablet,12.04
154,Diosmin   300 mg,10 Tablet,23.52
155,Diosmin   450 mg,10 Tablet,34.94
156,Diosmin   500 mg,10 Tablet,38.62
157,Doxycycline   100 mg,4 Capsule,3.98
158,Doxycycline   200 mg,10 Capsule,13.48
159,Doxycycline Monohydrate   100 mg,10 Tablet,9.61
160,Doxycycline Monohydrate   200 mg,10 Tablet,13.12
161,Doxycycline   50 mg,10 Tablet,3.36
162,Doxycycline   25 mg,30 ml,6.46
163,Doxycycline Hyclate   100 mg,10 Tablet,5.77
164,Doxycycline   200 mg,10 Tablet,11.46
165,Doxycycline Hyclate   200 mg,10 Tablet,11.7
166,Calcium Pantothenate   50 mg,10 Tablet,1.48
167,Calcium Pantothenate   100 mg,10 Tablet,1.98
168,Erythromycin   2% w/w,30 ml,13.42
169,Erythromycin   2% w/w,20 ml,8.48
170,Erythromycin   3% w/v,25 ml,11.46
171,Erythromycin   3% w/w,20 gm,10.64
172,Silver Sulphadiazine   1.0% w/w,25 gm,10.72
173,Silver Sulphadiazine   1.0% w/w,500 gm,163.76
174,Silver Sulphadiazine   1.0% w/w,15 gm,7.36
175,Silver Sulphadiazine   1.0% w/w,20 gm,8.23
176,Silver Sulphadiazine   1.0% w/w,30 gm,11.74
177,Silver Sulphadiazine   1.0% w/w,250 gm,63.4
178,Streptomycin Sulphate   1000 mg,1 Vial,9.46
179,Streptomycin Sulphate   750 mg,1 Vial,7.86
180,Spironolactone   100 mg,10 Tablet,65.99
181,Spironolactone   50 mg,10 Tablet,33.48
182,Spironolactone   25 mg,10 Tablet,17.13
183,Salbutamol   2 mg,100 ml,15.12
184,Levosalbutamol (Levalbuterol)   1 mg,10 Tablet,1.38
185,Levosalbutamol (Levalbuterol)   2 mg,10 Tablet,1.5
186,Levosalbutamol (Levalbuterol)   1 mg,100 ml,12.75
187,Salbutamol   2.5 mg,3 ml,3.19
188,Levosalbutamol (Levalbuterol)   0.31 mg,2.5 ml,2.71
189,Levosalbutamol (Levalbuterol)   0.63 mg,2.5 ml,3.12
190,Levosalbutamol (Levalbuterol)   1.25 mg,2.5 ml,3.14
191,Salbutamol   50 mcg,1 Inhaler,8.64
192,Salbutamol   200 mcg,30 Rotacap,13.28
193,Erythromycin   3% w/w,15 gm,8.72
194,Levosalbutamol (Levalbuterol)   100 mcg,30 Rotacap,13.22
195,Erythromycin   2% w/w,10 gm,6.2
196,Levosalbutamol (Levalbuterol)   50 mcg,200 MTD,79.29
197,Erythromycin   2% w/w,5 gm,4.62
198,Salbutamol   4 mg,10 Tablet,3.02
199,Salbutamol   8 mg,10 Tablet,3.26
200,Erythromycin   4% w/w,30 gm,16.74
201,Erythromycin   4% w/w,20 gm,12.15
202,Erythromycin Stearate   100 mg,10 Tablet,6.72
203,Erythromycin Stearate   250 mg,10 Tablet,19.4
204,Erythromycin Stearate   500 mg,10 Tablet,37.35
205,Erythromycin Stearate   100 mg,60 ml,14.88
206,Erythromycin Stearate   125 mg,30 ml,11.45
207,Erythromycin Stearate   125 mg,60 ml,18.19
208,Salbutamol   4 mg,10 Capsule,5.92
209,Salbutamol   8 mg,10 Capsule,6.5
210,Erythromycin   100 mg,10 ml,10.5
211,Salbutamol   2 mg,10 Tablet,0.75
212,Erythromycin   125 mg,45 ml,17.37
213,Salbutamol   100 mcg,400 MTD,84.94
214,Salbutamol   100 mcg,200 MTD,68.5
215,Erythromycin   500 mg,10 Tablet,46.26
216,Erythromycin   125 mg,10 Tablet,12.87
217,Erythromycin Estolate   100 mg,10 Tablet,8.49
218,Erythromycin Estolate   125 mg,10 Tablet,10.27
219,Erythromycin   100 mg,10 Tablet,8.49
220,Rifampicin   100 mg,60 ml,17.38
221,Erythromycin   333 mg,10 Tablet,19.08
222,Rifampicin   100 mg,150 ml,42.16
223,Rifampicin   100 mg,200 ml,66.59
224,Rifampicin   600 mg,10 Tablet,52.98
225,Rifampicin   450 mg,10 Tablet,40.34
226,Erythromycin Stearate   125 mg,50 ml,15.43
227,Rifampicin   300 mg,10 Tablet,25
228,Rifampicin   150 mg,10 Tablet,13.33
229,Rifampicin   100 mg,10 Tablet,9.93
230,Rifampicin   50 mg,10 Tablet,5.72
231,Rifampicin   600 mg,10 Capsule,60.26
232,Rifampicin   450 mg,10 Capsule,45.69
233,Rifampicin   300 mg,10 Capsule,31.61
234,Rifampicin   150 mg,10 Capsule,17.62
235,Famotidine   10 mg,14 Tablet,2.38
236,Famotidine   20 mg,14 Tablet,1.98
237,Ranitidine   50 mg,2 ml,5.9
238,Ranitidine   25 mg,2 ml,3.18
239,Ranitidine   300 mg,10 Tablet,10.11
240,Ranitidine   150 mg,10 Tablet,5.42
241,Ranitidine   75 mg,10 Tablet,3.49
242,Pyritinol   100 mg,10 Tablet,49.72
243,Pyritinol   200 mg,10 Tablet,97.96
244,Famotidine   40 mg,14 Tablet,4.09
245,Famotidine   20 mg,2 ml,2.14
246,Methyldopa   250 mg,10 Tablet,11.72
247,Pyrantal Pamoate   250 mg,100 ml,55.79
248,Metronidazole   200 mg,10 Tablet,4.2
249,Pyrantal Pamoate   250 mg,3 Tablet,7.02
250,Frusemide (Furosemide)   10 mg,2 ml,2.81
251,Frusemide (Furosemide)   40 mg,10 Tablet,4.12
252,Frusemide (Furosemide)   100 mg,10 Tablet,4.46
253,Furazolidone   100 mg,10 Tablet,1.8
254,Furazolidone   25 mg,1000 ml,62
255,Furazolidone   25 mg,60 ml,5.66
256,Prednisolone   5 mg,60 ml,23.07
257,Prednisolone   5 mg,30 ml,10.08
258,Lincomycin   300 mg,2 ml,9.01
259,Gentamicin Sulphate   20 mg,2 ml,5.82
260,Gentamicin Sulphate   40 mg,2 ml,6.22
261,Gentamicin   10 mg,2 ml,5.44
262,Gentamicin   3 mg,3 ml,4.94
263,Gentamicin   3 mg,5 ml,6.56
264,Lincomycin   500 mg,10 Capsule,46.32
265,Glipizide   2.5 mg,10 Tablet,3.32
266,Glipizide   5 mg,10 Tablet,5.86
267,Glipizide   7.5 mg,10 Tablet,5.69
268,Glipizide   10 mg,10 Tablet,7.1
269,Griseofulvin   125 mg,10 Tablet,6.62
270,Griseofulvin   250 mg,10 Tablet,15.76
271,Griseofulvin   375 mg,10 Tablet,18.12
272,Griseofulvin   500 mg,10 Tablet,24.22
273,Hydroxychloroquine Sulphate   200 mg,10 Tablet,10.24
274,Prednisolone   40 mg,10 Tablet,30.79
275,Ibuprofen   200 mg,10 Tablet,4.04
276,Prednisolone   30 mg,10 Tablet,23.72
277,Prednisolone   20 mg,10 Tablet,15.58
278,Nevirapine   50 mg,1 ml,0.98
279,Ibuprofen   400 mg,10 Tablet,6.34
280,Prednisolone   10 mg,10 Tablet,8.47
281,Lincomycin   250 mg,10 Capsule,14.28
282,Ibuprofen   600 mg,10 Tablet,9.85
283,Ibuprofen   400 mg,10 Capsule,7.64
284,Ibuprofen   300 mg,10 Capsule,6.9
285,Ibuprofen   600 mg,10 Capsule,9.42
286,Phenylbutazone   100 mg,10 Tablet,1.98
287,Ibuprofen   100 mg,500 ml,60.59
288,Ibuprofen   100 mg,60 ml,11.72
289,Pheniramine Maleate   22.75 mg,30 ml,13.35
290,Pheniramine Maleate   22.75 mg,10 ml,10.08
291,Pheniramine Maleate   22.75 mg,2 ml,3.58
292,Pheniramine Maleate   25 mg,10 Tablet,2.76
293,Dexibuprofen   200 mg,10 Tablet,9.82
294,Pheniramine Maleate   50 mg,10 Tablet,3.45
295,Dexibuprofen   300 mg,10 Tablet,13.84
296,Dexibuprofen   400 mg,10 Tablet,17.88
297,Iodochlorohydroxyquinoline   250 mg,10 Tablet,4.79
298,Iodochlorohydroxyquinoline   4% w/w,25 gm,8.02
299,Levodopa   500 mg,10 Tablet,10.56
300,Pentoxifylline (Pentoxyphylline)   400 mg,10 Tablet,21.14
301,Pentoxifylline (Pentoxyphylline)   300 mg,15 ml,6.22
302,Pentoxifylline (Pentoxyphylline)   20 mg,15 ml,6.4
303,Promethazine   25 mg,1 tablet,2.49
304,Di-Iodohydroxyquinoline   650 mg,10 Tablet,6.02
305,Pentazocine   25 mg,10 Tablet,13.64
306,Pentazocine   30 mg,1 ml,3.8
307,Lincomycin   250 mg,10 Tablet,24.88
308,Lincomycin   500 mg,10 Tablet,22.34
309,Lincomycin   125 mg,60 ml,29.21
310,Lincomycin   300 mg,1 ml,6.5
311,Lincomycin   2% ,10 gm,5.64
312,Midazolam   1 mg,1 ml,5.79
313,Misoprostol   100 mcg,1 tablet,9.43
314,Metronidazole   400 mg,10 Tablet,7.35
315,Metronidazole   600 mg,10 Tablet,7.46
316,Metronidazole   10 mg,30 gm,9.2
317,Metronidazole   500 mg,100 ml,40.72
318,Metronidazole   5 mg,100 ml,15.7
319,Benzathine Penicillin   4800000 iu,1 Vial,22.88
320,Metronidazole   100 mg,30 ml,5.82
321,Metronidazole   100 mg,60 ml,9.08
322,Benzathine Penicillin   2400000 iu,1 Vial,14.02
323,Benzathine Penicillin   1200000 iu,1 Vial,10.06
324,Benzathine Penicillin   600000 iu,1 Vial,6.84
325,Metronidazole   200 mg,30 ml,10.55
326,Metronidazole   200 mg,60 ml,12.74
327,Penicillin G Sodium   500000 iu,1 Vial,5.18
328,Pencillin G Sodium   1000000 iu,1 Vial,6.7
329,Metronidazole   200 mg,100 ml,18.54
330,Metronidazole   200 mg,500 ml,70.44
331,Penicillin G Potassium   200000 iu,6 Tablet,3.28
332,Nalidixic Acid   125 mg,10 Tablet,5.46
333,Penicillin G Potassium   400000 iu,6 Tablet,5.26
334,Nalidixic Acid   150 mg,10 Tablet,6.42
335,Nalidixic Acid   250 mg,10 Tablet,9.96
336,Nalidixic Acid   300 mg,6 Tablet,6.96
337,Nalidixic Acid   500 mg,8 Tablet,17.09
338,Penicillin G Potassium   800000 iu,4 Tablet,6.23
339,Nalidixic Acid   1000 mg,4 Tablet,14.78
340,Nalidixic Acid   300 mg,30 ml,14.84
341,Penicillin V (Phenoxymethyl Penicillin)   250 mg,10 Tablet,10.06
342,Penicillin V (Phenoxymethyl Penicillin)   125 mg,10 Tablet,5.86
343,Oxytetracycline   50 mg,20 ml,13.63
344,Oxytetracycline   50 mg,30 ml,17.71
345,Oxytetracycline   50 mg,10 ml,6.6
346,Oxytetracycline   500 mg,10 Capsule,10.35
347,Oxytetracycline   250 mg,4 Capsule,2.7
348,Oxcarbazepine   150  mg,10 Tablet,12.18
349,Oxcarbazepine   300 mg,10 Tablet,23.16
350,Oxcarbazepine   450 mg,10 Tablet,34.04
351,Oxcarbazepine   600 mg,10 Tablet,45.12
352,Nalidixic Acid   300 mg,60 ml,26.86
353,Norfloxacin   100 mg,10 Tablet,3.09
354,Norfloxacin   200 mg,10 Tablet,4.92
355,Norfloxacin   400 mg,10 Tablet,9.7
356,Norfloxacin   800 mg,10 Tablet,16.66
357,Norfloxacin   0.3% ,5 ml,6.54
358,Norfloxacin   0.3% ,10 ml,7.3
359,Norfloxacin   0.50% ,5 ml,8.12
360,Norfloxacin   0.30% ,5 gm,4.28
361,Norfloxacin   100 mg,30 ml,9.64
362,Norfloxacin   100 mg,60 ml,14.66
363,Naproxen   250 mg,10 Tablet,10.27
364,Naproxen   500 mg,10 Tablet,19.6
365,Naproxen   750 mg,10 Tablet,29.54
366,Naproxen   275 mg,10 Tablet,12.49
367,Naproxen   10% w/w,20 gm,14.28
368,Naproxen   125 mg,60 ml,15.48
369,Prednisolone   15 mg,60 ml,32.59
370,Prednisolone   0.1% ,5 ml,62.2
371,Insulin (Human Recombinant))   40 iu,10 ml,145.68
372,Insulin (Human Recombinant))   100 iu,10 ml,343.11
373,Insulin (Human-Isophane)   40 iu,10 ml,166.77
374,Insulin (Human)   40 iu,10 ml,166.67
375,Insulin (Human Recombinant))   40 iu,3 ml,210
376,Insulin (Analogue) Lispro   100 iu,3 ml,501.62
377,Insulin (Analogue) Glargine   100 iu,3 ml,889.82
378,Insulin (Human)   100 iu,10 ml,384.11
379,Insulin (Human) Zinc   40 iu,10 ml,32.16
380,Insulin (Human-Isophane)   100 iu,3 ml,211.09
381,Insulin (Human-Isophane Recombinant)   100 iu,3 ml,205.12
382,Insulin (Human Recombinant))   300 iu,3 ml,208.01
383,Insulin (Human Recombinant))   100 iu,3 ml,155.98
384,Insulin (Human-Isophane)   100 iu,10 ml,384.11
385,Insulin (Human)   100 iu,3 ml,153.19
386,Vit A   25000 iu,30 Capsule,17.8
387,Vit A   50000 iu,30 Capsule,19.32
388,Vit A   50000 iu,10 Tablet,6.2
389,Thiamine   75 mg,10 Tablet,2.98
390,Riboflavin   10 mg,10 Tablet,1.5
391,Vit C   50 mg,100 Tablet,11.74
392,Vit C   100 mg,100 Tablet,17.62
393,Vit C   500 mg,10 Tablet,12.66
394,Vit C   500 mg,5 ml,2.71
395,Vit C   100 mg,15 ml,7.62
396,Ascorbic Acid   100 mg,30 ml,11.65
397,Metronidazole   500 mg,100 ml,13.4
398,Prednisolone   5 mg,10 Tablet,4.59
399,Metronidazole   400 mg,15 Tablet,18.23
400,Vit A   600000 iu,2 ml,7.12
401,Gentamicin   40 mg,100 ml,76.76
402,Dextrose   5% w/v,500 ml,26.74
403,Sodium Chloride   0.9% w/v,500 ml,24.88
404,Dexamethasone (Eye)   0.7 mg,1 Injection,54221
405,Vit A   5000 iu,2.5 ml,3.88
406,Vit E   100 iu,10 Capsule,5.7
407,Vit C   500 mg,10 Tablet,12.66
408,Vit C   250 mg,100 Tablet,31.24
409,Vit C   200 mg,100 Tablet,26.98
410,Vit C   100 mg,100 Tablet,17.62
411,Vit C   50 mg,100 Tablet,11.74
412,Riboflavin   10 mg,10 Tablet,1.5
413,Vit B1   75 mg,10 Tablet,2.98
414,Vit A   4000 iu,2.5 ml,4.24
415,Vit A   300000 iu,1 ml,3.32
416,Vit A   100000 iu,1 ml,2.8
417,Vit A   25000 iu,30 Capsule,17.8
418,Vit A   50000 iu,10 Tablet,6.2
419,Vit A   50000 iu,10 Capsule,5.96
420,Vit A   24000 iu,100 Capsule,28.48
421,Trimethoprim   100 mg,10 Tablet,2.07
422,Thiamine   75 mg,10 Tablet,3.98
423,Theophylline   800 mg,10 Tablet,11.42
424,Theophylline   400 mg,10 Capsule,9.62
425,Theophylline   300 mg,10 Tablet,4.51
426,Theophylline   200 mg,10 Tablet,2.8
427,Hydroxy ethyl theophylline   113 mg,2 ml,2.55
428,Theophylline   800 mg,10 Tablet,13.17
429,Tetracycline   125 mg,10 Capsule,5.36
430,Salbutamol   100 mcg,200 MTD,129.16
431,Salbutamol   2 mg,56 ml,4.83
432,Salbutamol   2.5 mg,2.5 ml,3.06
433,Salbutamol   5 mg,15 ml,6.76
434,Salbutamol   2.5 mg,10 ml,6.05
435,Salbutamol   4 mg,10 Tablet,2.96
436,Salbutamol   2 mg,112 ml,7.76
437,Salbutamol   400 mcg,30 Capsule,14.99
438,Salbutamol   200 mcg,8 Tablet,1.14
439,Salbutamol   4 mg,10 Tablet,1.62
440,Pyrantel Pamoate   200 mg,50 ml,26.47
441,Pyrantal Pamoate   200 mg,2 Tablet,2.7
442,Prednisolone   15 mg,60 ml,41.69
443,Prednisolone   20 mg,2 ml,9.29
444,Methyl Prednisolone   40 mg,1 ml,60.09
445,Prednisolone   25 mg,10 Tablet,6.77
446,Prednisolone   2.5 mg,10 Tablet,3.71
447,Prednisolone   2 mg,10 Tablet,1.47
448,Phenylbutazone   200 mg,10 Tablet,3.1
449,Penicillin V (Phenoxymethyl Penicillin)   65 mg,48 Tablet,17.8
450,Penicillin G Potassium   200 mg,6 Tablet,3.1
451,Penicillamine   300 mg,4 Tablet,4.14
452,Penicillin V (Phenoxymethyl Penicillin)   500 mg,10 Tablet,23.04
453,Penicillin V (Phenoxymethyl Penicillin)   130 mg,50 Tablet,34.2
454,Penicillin V (Phenoxymethyl Penicillin)   65 mg,50 Tablet,19.92
455,Penicillin G Potassium   500000 iu,6 Tablet,6.23
456,Oxytetracycline   250 mg,3 ml,2.26
457,Oxytetracycline   125 mg,20 ml,17.36
458,Oxytetracycline   2 mg,1 Tablet,4.26
459,Oxytetracycline   100 mg,10 Tablet,3.76
460,Oxytetracycline   50 mg,25 Tablet,4.7
461,Oxcarbazepine   500 mg,10 Tablet,37.86
462,Naproxen   125 mg,60 ml,15.48
463,Naproxen   10% w/w,20 gm,14.28
464,Naproxen   750 mg,10 Capsule,32.22
465,Naproxen   500 mg,10 Capsule,22.58
466,Naproxen   250 mg,10 Capsule,13.66
467,Naproxen   750 mg,10 Tablet,29.74
468,Naproxen   500 mg,10 Tablet,20.64
469,Naproxen   250 mg,10 Tablet,11.21
470,Norfloxacin   100 mg,60 ml,14.66
471,Norfloxacin   0.3% w/v,15 ml,8.27
472,Norfloxacin   0.30% ,5 gm,4.28
473,Norfloxacin   0.50% ,5 ml,8.12
474,Norfloxacin   0.30% ,10 ml,7.3
475,Norfloxacin   100 mg,10 Tablet,3.1
476,Norfloxacin   800 mg,10 Tablet,17.28
477,Norfloxacin   400 mg,10 Tablet,9.7
478,Norfloxacin   200 mg,10 Tablet,4.92
479,Norfloxacin   100 mg,10 Tablet,3.09
480,Nalidixic Acid   300 mg,60 ml,26.86
481,Metronidazole   100 mg,60 ml,9.08
482,Metronidazole   5 mg,100 ml,16.1
483,Metronidazole   500 mg,100 ml,40.72
484,Metronidazole   10 mg,30 gm,9.2
485,Metronidazole   400 mg,15 Tablet,19.19
486,Metronidazole   50 mg,50 ml,7.92
487,Metronidazole   600 mg,10 Tablet,7.46
488,Methyldopa   250 mg,10 Tablet,18.96
489,Lincomycin   250 mg,10 Tablet,24.88
490,Insulin (Analogue) Glargine   100 iu,3 ml,734.34
491,Insulin (Human)   100 iu,3 ml,256.03
492,Di-Iodohydroxyquinoline   650 mg,10 Tablet,6.02
493,Aspirin   20 mg,10 Tablet,8.42
494,Aspirin   125 mg,15 Tablet,2.39
495,Aspirin   50 mg,14 Tablet,2.4
496,Aspirin   75 mg,14 Tablet,3.48
497,Aspirin   150 mg,14 Tablet,5.48
498,Iodochlorohydroxyquinoline   8% w/w,25 gm,9.4
499,Ibuprofen   150 mg,150 ml,22.96
500,Ibuprofen   10% ,30 gm,10.28
501,Mebhydrolin Napadisylate   50 mg,10 Tablet,3.1
502,Betamethasone   0.25 mg,10 Tablet,2.3
503,Betamethasone Sodium Phosphate   0.5 mg,10 Tablet,5.86
504,Betamethasone Sodium Phosphate   4 mg,1 ml,4.4
505,Betamethasone   0.05% ,5 gm,4.9
506,Betamethasone   0.06% ,20 gm,10.22
507,Betamethasone   0.64 mg,18 gm,8.15
508,Framycetin Sulphate   1% w/w,30 gm,23.46
509,Framycetin Sulphate   0.50% ,5 ml,7.15
510,Framycetin Sulphate   0.5% w/w,5 gm,5.64
511,Famotidine   30 mg,14 Tablet,3.28
512,Betamethasone   0.01% ,15 gm,6.64
513,Betamethasone   0.05% ,10 ml,6.94
514,Betamethasone Valerate   0.12% w/w,20 ml,13.31
515,Betamethasone   0.05% w/v,50 ml,14.32
516,Cefadroxil   500 mg,4 Capsule,12.84
517,Cefadroxil   1000 mg,4 Capsule,24.59
518,Cefadroxil   250 mg,60 ml,29.06
519,Cefotaxime Sodium   750 mg,1 Vial,18.98
520,Chloroquine Phosphate   64.5 mg,2 ml,3.71
521,Chloroquine Phosphate   40 mg,5 ml,5.37
522,Chloroquine   250 mg,10 Tablet,7.23
523,Chloroquine Phosphate   50 mg,60 ml,15.77
524,Chloroquine Phosphate   50 mg,450 ml,42
525,Chlorpromazine   5 mg,50 ml,4.94
526,Ciprofloxacin   0.3% w/v,15 gm,6.3
527,Ciprofloxacin   0.5% ,15 gm,7.11
528,Ciprofloxacin   5% w/w,15 gm,9.36
529,Ciprofloxacin   125 mg,60 ml,15.65
530,Pseudoephedrine   120 mg,10 Tablet,7.85
531,Dexamethasone Sodium Phosphate   0.01% w/v,10 ml,6.4
532,Dexamethasone   10 mg,1 Vial,6.94
533,Erythromycin   5 mg,5 gm,4.26
534,Erythromycin   500 mg,10 Tablet,37.35
